band,wavelength_nm,2018,2025,Both years
163,1200,0.15560996405862326,0.16271799925072952,0.1661340408171284
164,1200,0.1526194630660584,0.15989719970098176,0.1631080726098755
165,1210,0.15076843409696794,0.15899105643438946,0.1614281954567743
166,1210,0.14514501091978904,0.15471962108113352,0.1563400119257968
167,1220,0.1384485491917251,0.15015707371825424,0.15100761685064568
168,1220,0.13334651084154345,0.1472765404119118,0.14738962082046234
169,1230,0.13213159505807204,0.14841363687390047,0.14769379697309734
170,1230,0.1349265061777177,0.15383258830384344,0.15215613959003754
171,1240,0.13814589966482013,0.1590990197806601,0.15669393200085
172,1240,0.14161870249661113,0.16494919412947817,0.16181334956068893
173,1250,0.14409819550371522,0.16983537211095445,0.16606371799178354
174,1250,0.14788441236448496,0.1760368114369498,0.17170605089228427
175,1260,0.14984492291533116,0.18091490337655552,0.1760398892460321
176,1260,0.15139013971207277,0.18456260813046338,0.17958358055207999
177,1270,0.1559677612302745,0.19132271041855384,0.18623229714998651
178,1270,0.16575076007580403,0.20347577378931617,0.1981820478587503
179,1280,0.17487226162178646,0.2142950407417205,0.20877260979598883
180,1280,0.1829703996694217,0.22326860116819144,0.21780277061436748
181,1290,0.18916274738806307,0.2298350535730286,0.22463210429945515
182,1290,0.194877166487686,0.23552098402088506,0.23055585859064154
183,1300,0.2009575431267615,0.24133112515091118,0.23651332371071565
184,1300,0.21104930190984572,0.2508671092991407,0.24596059220149144
185,1310,0.22562289042032943,0.2642608744829433,0.25895213618733504
186,1310,0.24640062198143822,0.28316428644645797,0.2771486431970239
187,1320,0.27148335233319026,0.3052128111554368,0.29861208374045717
188,1320,0.30319947031215394,0.3345599315038189,0.3268202624581588
189,1330,0.42088598675358074,0.43497814765720094,0.41142902493178246
190,1330,0.5067649799283701,0.527331177979552,0.4944612231194751
191,1460,0.5136478659578831,0.519721006334372,0.524308571996413
192,1460,0.45503454559969747,0.40948911741516164,0.4249054392912091
193,1470,0.5045990876771953,0.40710649448892383,0.4313428634191628
194,1470,0.7456856396287065,0.6886397299233774,0.7008358517283927
195,1480,0.5052618926674417,0.4220707474473008,0.44472781700357567
196,1480,0.4464490288802902,0.4179026183876824,0.43268685788028255
197,1490,0.40540105059899617,0.37738901187657536,0.39117756001524134
198,1490,0.3092229436607396,0.29821703529405597,0.3105309597507421
199,1500,0.2591449191476431,0.24541433277618072,0.25671245402894277
200,1500,0.21257816388710926,0.19580618387308849,0.207762001841824
201,1510,0.23191579521303388,0.21569628247498623,0.22668398940905682
202,1510,0.2055604556888779,0.1928291663261816,0.20107778624681336
203,1520,0.210704494375039,0.1953272688349672,0.2035936594282465
204,1520,0.20612255265605137,0.2013030367623104,0.20602793604147737
205,1530,0.19648881195298215,0.18813039743470522,0.19300744301149034
206,1530,0.20720205670510355,0.20224631942808372,0.20519549199537512
207,1540,0.1904691418355792,0.19217662527406518,0.19273699487568755
208,1540,0.19100486367107516,0.1924456056533799,0.19277260096369336
209,1550,0.18108757137271742,0.19267914315932114,0.19011415716873495
