x_utm,y_utm,snow_free_doy,doy_band,domain,tile
329715.5,4311692.5,124.2195816040039,early,CRBU,CRBU_2025_mosaic_rfl_329000_4311000.nc
334565.5,4303026.5,121.66868591308594,early,CRBU,CRBU_2025_mosaic_rfl_334000_4303000.nc
342829.5,4287731.5,91.20231628417969,early,ALMO,ALMO_2025_mosaic_rfl_342000_4287000.nc
338940.5,4286389.5,100.72671508789062,early,ALMO,ALMO_2025_mosaic_rfl_338000_4286000.nc
324823.5,4304512.5,117.74313354492188,early,CRBU,CRBU_2025_mosaic_rfl_324000_4304000.nc
337175.5,4308404.5,128.91795349121094,early,CRBU,CRBU_2025_mosaic_rfl_337000_4308000.nc
347460.5,4285053.5,103.62467193603516,early,ALMO,ALMO_2025_mosaic_rfl_347000_4285000.nc
358586.5,4313239.5,124.15039825439453,early,UPTA,UPTA_2025_mosaic_rfl_358000_4313000.nc
339082.5,4292512.5,91.2525863647461,early,ALMO,ALMO_2025_mosaic_rfl_339000_4292000.nc
340694.5,4281191.5,95.41963958740234,early,ALMO,ALMO_2025_mosaic_rfl_340000_4281000.nc
337193.5,4288719.5,98.239654541015625,early,ALMO,ALMO_2025_mosaic_rfl_337000_4288000.nc
347769.5,4286518.5,124.21417236328125,early,ALMO,ALMO_2025_mosaic_rfl_347000_4286000.nc
328742.5,4305965.5,119.37744140625,early,CRBU,CRBU_2025_mosaic_rfl_328000_4305000.nc
334541.5,4306329.5,126.9775161743164,early,CRBU,CRBU_2025_mosaic_rfl_334000_4306000.nc
341133.5,4290431.5,102.66564178466797,early,ALMO,ALMO_2025_mosaic_rfl_341000_4290000.nc
341184.5,4286281.5,109.68234252929688,early,ALMO,ALMO_2025_mosaic_rfl_341000_4286000.nc
349637.5,4286053.5,121.75326538085938,early,ALMO,ALMO_2025_mosaic_rfl_349000_4286000.nc
338280.5,4295947.5,92.4177474975586,early,ALMO,ALMO_2025_mosaic_rfl_338000_4295000.nc
341115.5,4288650.5,101.64107513427734,early,ALMO,ALMO_2025_mosaic_rfl_341000_4288000.nc
359478.5,4312140.5,123.66779327392578,early,UPTA,UPTA_2025_mosaic_rfl_359000_4312000.nc
337592.5,4307755.5,126.25155639648438,early,CRBU,CRBU_2025_mosaic_rfl_337000_4307000.nc
341760.5,4280014.5,84.6963119506836,early,ALMO,ALMO_2025_mosaic_rfl_341000_4280000.nc
331733.5,4302803.5,116.37578582763672,early,CRBU,CRBU_2025_mosaic_rfl_331000_4302000.nc
