band,wavelength_nm,importance,importance_pct,communality,sd_pct
155,1160,0.0017286807890724966,0.2719017947761762,0.05177347539688686,0.00727212353703125
156,1160,0.0014331029722339753,0.22541077144645064,0.04398591039102671,0.007079608750282571
157,1170,0.0012595081894923434,0.1981062897343845,0.03736437261519511,0.0068835825287861495
158,1170,0.0011855826646003115,0.18647864683757237,0.03394174562647169,0.006772239330806172
159,1180,0.0011523272213131246,0.18124794445861264,0.03207147163958655,0.006705722956803023
160,1180,0.001140376083600343,0.17936816664522812,0.031335981544559174,0.006698865432429182
161,1190,0.001142244086070311,0.17966198215323934,0.03154162325102528,0.006769322287199121
162,1190,0.0011469140779634237,0.1803965186769019,0.031885845717627245,0.006850693360953723
163,1200,0.001131915997401316,0.17803749146446743,0.030955560888507466,0.006859733183285308
164,1200,0.0011121962919477706,0.1749358064459433,0.030282473346510592,0.00690385335640803
165,1210,0.0011015958076813512,0.17326847103286078,0.030110456246646676,0.006996759461321484
166,1210,0.0010726060052187272,0.16870870536089802,0.029140443815153516,0.007079167136331023
167,1220,0.0010461279309348839,0.16454400591754,0.0282568159522756,0.007199327965432102
168,1220,0.0010300524015329838,0.1620155082770363,0.02761139093921194,0.007345653251563564
169,1230,0.0010379793592322723,0.16326232841825383,0.02789212495582722,0.007550312965595021
170,1230,0.0010693248339966022,0.16819261450716533,0.029221419447604258,0.007813586781386453
171,1240,0.0011008893036329609,0.1731573459946303,0.030308555021675142,0.008044093913650503
172,1240,0.0011342660234927911,0.17840712379686915,0.0313944549651644,0.008295785569800611
173,1250,0.0011625510158566035,0.18285603086957247,0.032308298759708774,0.008556492629424763
174,1250,0.0011990434251002244,0.1885958711175635,0.03361033209447509,0.008841911979907559
175,1260,0.0012297020925845514,0.19341813024552384,0.034548726290212564,0.00914737499289354
176,1260,0.0012560968887333096,0.19756973098694777,0.03522041335279244,0.009416865461603417
177,1270,0.0012972777600562596,0.20404701290847857,0.036623729805792066,0.009689158945921242
178,1270,0.0013672745051630912,0.2150567035022229,0.03933740715465887,0.009992425886772878
179,1280,0.001437364591127493,0.22608107554951254,0.041469168120834614,0.010344719371159697
180,1280,0.0015000237445127469,0.23593664655620328,0.04322385260271986,0.010710740527450996
181,1290,0.001551807423797307,0.2440816293815983,0.044502460023857916,0.010996736622203759
182,1290,0.0015985296290692715,0.25143050000574874,0.045589161954142844,0.011259774967366002
183,1300,0.0016457292245358225,0.25885445866901957,0.046753916083564474,0.01143739381371837
184,1300,0.0017105500808358579,0.2690500409178191,0.048688139980703316,0.011565151155903586
185,1310,0.0017922707040830307,0.28190376398317224,0.051434082107975426,0.011649607454333242
186,1310,0.0019006852928792656,0.2989561437284423,0.055277868087840354,0.011704142435873578
187,1320,0.0020248610340681786,0.3184875731920872,0.06004069787778868,0.01183577108808053
188,1320,0.002186249506596833,0.34387214136344457,0.06675762921431345,0.012141687036306647
189,1330,0.0026715695136879216,0.4202074496534469,0.09285269844828299,0.015133611600388366
190,1330,0.0030799593341585617,0.48444251598623456,0.11131174292920218,0.018910774169272667
191,1460,0.0032690548285754222,0.5141850830587934,0.096222206452621,0.017834355710705994
192,1460,0.002713096150454289,0.42673911654022467,0.07141263137452827,0.013387634450002133
193,1470,0.002761583758071167,0.43436566484154854,0.07611258160291151,0.014232793646488984
194,1470,0.0043211306538398055,0.6796646249952173,0.1353407226739336,0.0227905959181144
195,1480,0.002870303577591538,0.45146605390249916,0.0789306274078841,0.014777352074546377
196,1480,0.0027762083980814867,0.4366659541094677,0.07605330677221256,0.015003134776676065
197,1490,0.0025779066645505977,0.40547535050288447,0.07255592332419844,0.014171616082163132
198,1490,0.002121777771452975,0.33373147189528046,0.056537137452287056,0.014235668419183679
199,1500,0.001832011813069378,0.28815458769110563,0.04961895607813086,0.013259350562414111
200,1500,0.0015353570543896495,0.24149417367841258,0.0400740847646575,0.012549040333754678
201,1510,0.0016619893530882889,0.26141199165293105,0.044287994319114767,0.01241728093499648
202,1510,0.0015096552903269664,0.23745157898902122,0.04092337683508693,0.011717869698355282
203,1520,0.0015132087328425295,0.23801049501546356,0.04077447642385436,0.010727875312545522
204,1520,0.0015203270027792234,0.23913011778429577,0.041140869921640136,0.010426160717244481
205,1530,0.001432955929501691,0.22538764329979127,0.03987057932967478,0.009665296305803822
206,1530,0.0014961236920662693,0.23532321273625123,0.0415845337613462,0.00916797724337773
207,1540,0.0014047569203153153,0.22095226040136776,0.03982878958114352,0.008180744328302698
208,1540,0.0013892822505148755,0.21851827113110703,0.03977136386659035,0.007545598287220356
209,1550,0.00136142418206623,0.21413651432668948,0.039070863510747074,0.00706178312696501
210,1550,0.0013539862688972566,0.21296661531883487,0.03900324846319373,0.006504468323807236
211,1560,0.001472840550488844,0.231661039810545,0.04470533053292033,0.006429499212456785
212,1560,0.0013637878818239862,0.21450829737102517,0.04041325619183816,0.005715649534585162
213,1570,0.0012068854521362896,0.18982933263299662,0.03370503207453887,0.004649548400111361
214,1570,0.0012743484976864702,0.20044050115069786,0.03664123203546193,0.0046963410368818
215,1580,0.0013322897607197586,0.20955400175181374,0.036248582321265474,0.004436923262986205
216,1580,0.0012658507925588447,0.19910390894102808,0.03594676004345042,0.0044848658087242935
217,1590,0.001258842036329472,0.19800151143076383,0.036435164000969765,0.004433776544763444
218,1590,0.0012243957832119411,0.19258350823134363,0.03651473947626332,0.004710808785344936
219,1600,0.0011572100243239921,0.18201595374672752,0.034082102676655956,0.004530019410626827
220,1600,0.0011403644938261547,0.17936634370578042,0.03432741137624248,0.004750799865769118
221,1610,0.0010681193571016525,0.1680030067245313,0.03271532980929581,0.005423178109470353
222,1610,0.0011295441078793345,0.17766442026351792,0.03290497204380285,0.005278972795946702
223,1620,0.0011032078956244005,0.1735220341011976,0.032720242815603325,0.005767284001090321
224,1620,0.0010436002117184436,0.16414642448088326,0.03006666999135445,0.005882561001988454
225,1630,0.0010666672226024546,0.16777460251070295,0.030962449375074044,0.006229516126662782
226,1630,0.001123814250424743,0.17676317896115407,0.0327204856668121,0.006747937507681657
227,1640,0.0010751476379359708,0.1691084752327268,0.029973922177585616,0.006625229780794125
228,1640,0.0011349799518114358,0.1785194165882324,0.033381097526434964,0.00702805994368354
229,1650,0.001117472318893389,0.17576566537933888,0.03277023601279338,0.006853806466621522
230,1650,0.0012336808093443676,0.1940439370658105,0.03612966996263104,0.007074378761550033
231,1660,0.0012077316700472307,0.18996243307016875,0.033479387096059944,0.006521730534816556
232,1660,0.0012896501817459553,0.20284728173458133,0.034779664952443036,0.006621444678090485
233,1670,0.001295956260044074,0.203839156011253,0.03408323666935494,0.0062147505674464264
234,1670,0.0012702330590877978,0.1997931895427112,0.033221421252366747,0.006150668830651954
235,1680,0.0012110309579660577,0.19048137347390504,0.03173779292672945,0.006068930390708173
236,1680,0.001111181258321462,0.17477615321991335,0.029720142710230428,0.006104984450048999
237,1690,0.0010881884146812756,0.17115964085262486,0.02957529973567453,0.00597114978733006
238,1690,0.0010938902171769814,0.17205646942956157,0.030527446014602538,0.005721625757498101
239,1700,0.0011003434542523373,0.17307149010544173,0.03125587438746297,0.005425550012523903
240,1700,0.0011529977191629998,0.18135340613200374,0.035309820673464075,0.004956489699214678
241,1710,0.0012877484609699673,0.20254816272115625,0.04196191441487832,0.004709560328294693
242,1710,0.0013141275571062654,0.20669729402947665,0.04715427898629254,0.004831915080727079
243,1720,0.0013151735191082924,0.20686181193666728,0.04753662012705187,0.004559723483029735
244,1720,0.0013190418432555524,0.20747025525660506,0.04812842617596723,0.004726302700426364
245,1730,0.0013132622792929411,0.20656119568679238,0.04932756834927531,0.004412847850146124
246,1730,0.0012821073692094204,0.20166088325123582,0.04502875924566779,0.004087988224394587
247,1740,0.001159912961072025,0.18244109490500401,0.041001227112995094,0.004446002327814754
248,1740,0.001067553236182825,0.16791396235331912,0.03397975517667236,0.004714776683254422
249,1750,0.0011229729387201553,0.1766308502143492,0.036857025370551445,0.004666513752531007
250,1750,0.0010630379818862509,0.16720376429080233,0.03554217056131059,0.005068243029028816
251,1760,9.751285362731403e-4,0.1533766099711155,0.033082286889313486,0.0048971620426517355
252,1760,0.0010285293918560567,0.16177595620516994,0.03376563384665144,0.005384729494151034
253,1770,0.0011872162886306936,0.18673559728710487,0.041018722983731416,0.005940665115230769
254,1770,0.0011927813476445164,0.18761091767214,0.04102228734103258,0.0057418890479613224
255,1780,0.0019049963825198521,0.29963422901644127,0.06873359018678875,0.008926911930558327
256,1780,0.002210226131157471,0.3476433912621664,0.08687199975493409,0.014510150496173402
257,1790,0.002614408622379165,0.41121669263450894,0.10626737412406527,0.01566115047866669
258,1790,0.003921547615648487,0.6168147651870162,0.1519609924495134,0.030989437019451636
259,1960,0.004467611601233966,0.7027044092912853,0.13321654864463323,0.04804536463636991
260,1960,0.004467611601233966,0.7027044092912853,0.13321654864463323,0.04804536463636991
261,1970,0.004467611601233966,0.7027044092912853,0.13321654864463323,0.04804536463636991
262,1970,0.004179777779007747,0.6574314280935324,0.1079111521770149,0.01654513793289193
263,1980,0.004073527541716131,0.6407194761833793,0.11690790310495146,0.014646109283865665
264,1980,0.0036209874851034895,0.5695400806703947,0.09198459266994433,0.014870557334286421
265,1990,0.004398395597808477,0.6918175204697105,0.14050557552925644,0.01765380021982969
266,1990,0.0036700799313077953,0.5772617631911252,0.09401605590786867,0.014308007985545082
267,2000,0.00377279566154607,0.5934177774073283,0.09021725701681478,0.01366253499209388
268,2000,0.004550939281391733,0.7158109041008842,0.11177810901829062,0.014052838544360853
269,2009.9999999999998,0.007745836607177585,1.2183318567823036,0.25255142974276934,0.04268594698483822
270,2009.9999999999998,0.005221220854156694,0.8212385595663999,0.1408769622155805,0.014680758650331416
271,2020,0.00442338084609489,0.6957474153901307,0.13652689791806097,0.016028258450060152
272,2020,0.0025370188266447603,0.3990441593995926,0.06710266680814851,0.006827026449379366
