point_type,band_number,wavelength_nm,mean_18,mean_25,mean_diff,sd_diff,n_pairs,pooled_sd,t_stat,cohens_d,ci95_lo,ci95_hi
vegetated,30,529,0.01717912495791214,0.013298906369852728,-0.0038802185880593976,0.00407873995470462,1058,0.0059898990291332,-30.943754615970157,-0.6477936554835224,-0.004125994465194596,-0.0036344427109241987
vegetated,31,534,0.017953142641990227,0.014167684673205179,-0.003785457968785026,0.004081797629312705,1058,0.005973255257591792,-30.165448943009377,-0.6337345058163797,-0.00403141809465075,-0.003539497842919302
vegetated,32,539,0.01854441873046175,0.014808405812864418,-0.0037360129175973457,0.004079122268408504,1058,0.005982209796876576,-29.79095873107005,-0.6245205441554371,-0.003981811832113441,-0.0034902140030812507
vegetated,33,544,0.01910568814049756,0.015377523494397827,-0.003728164646099741,0.004111398372623335,1058,0.006041248745033693,-29.494997110661906,-0.6171182156941543,-0.003975908447495608,-0.003480420844703874
vegetated,34,549,0.019578096186060944,0.015942205227185657,-0.003635890958875325,0.004139782755628875,1058,0.006111242914404878,-28.567756330274413,-0.594951143294456,-0.003885345140611101,-0.0033864367771395494
vegetated,35,554,0.019895388013015502,0.01628787865444225,-0.003607509358573255,0.004157267844616837,1058,0.006201174395741926,-28.225542254014844,-0.5817461545752323,-0.003858017153221481,-0.0033570015639250287
vegetated,36,559,0.02001122291806123,0.016409242019846556,-0.003601980898214681,0.004201314993304677,1058,0.006333488583667515,-27.886820115364795,-0.5687198848835521,-0.0038551428769306043,-0.0033488189194987575
vegetated,37,564,0.019994566107422618,0.016335215592032333,-0.0036593505153903116,0.0042562146816754985,1058,0.006511830110136708,-27.965547053892667,-0.5619542361361587,-0.00391582062828827,-0.0034028804024923533
vegetated,38,569,0.019775900556276118,0.016116713473065716,-0.003659187083210393,0.004316117350816362,1058,0.006731891672739208,-27.576186265007205,-0.5435600067702023,-0.003919266798881348,-0.003399107367539438
vegetated,39,574,0.01952072271869822,0.015834397815065033,-0.003686324903633169,0.00438902168371934,1058,0.006964541455210145,-27.319246552712404,-0.5292990109026409,-0.00395079767367022,-0.003421852133596118
vegetated,40,579,0.01935255995928794,0.015622664481922274,-0.0037298954773656375,0.004458144767277848,1058,0.007170472196764992,-27.213558116809246,-0.5201743169785116,-0.003998533452019935,-0.00346125750271134
vegetated,41,584,0.019272801971888815,0.015541477891585116,-0.0037313240803036785,0.004508900178845459,1058,0.007351056730088187,-26.91752865340596,-0.5075901625178881,-0.004003020464156876,-0.0034596276964504818
vegetated,42,589,0.01925984898997943,0.015520204298228622,-0.0037396446917508114,0.004559689437054485,1058,0.007488329552082523,-26.677056679934836,-0.49939638283024107,-0.004014401524326897,-0.0034648878591747264
vegetated,43,594,0.01935783162251204,0.015585034431212725,-0.003772797191299313,0.0045757974873239775,1058,0.007601485483793205,-26.818809689105308,-0.4963236724378582,-0.004048524659470677,-0.003497069723127949
vegetated,44,599,0.01947421114743985,0.01565399347579284,-0.0038202176716470027,0.004583886770147723,1058,0.007685860575191495,-27.10797408562262,-0.4970448831687037,-0.0040964325821666115,-0.003544002761127394
vegetated,45,604,0.019562981978769912,0.015694173570894036,-0.003868808407875857,0.00462682220540333,1058,0.007786282334801821,-27.198017297441293,-0.4968749194443804,-0.004147610513062769,-0.003590006302688945
vegetated,46,609,0.019529519081004743,0.01559922062210518,-0.003930298458899575,0.004650916283046731,1058,0.007889652983143296,-27.487158243472113,-0.49815859674650925,-0.004210552420084254,-0.003650044497714896
