x_utm,y_utm,domain,snow_free_doy,canopy_height_m,predicted_label,nearest_class,nearest_d,second_class,second_d,margin,ood_flag
341184.5,4286281.5,ALMO,109.68234252929688,0,S18,S18,14.187195046786053,S05.b,14.243922889450129,0.05672784266407582,TRUE
349637.5,4286053.5,ALMO,121.75326538085938,0,S10,S10,10.491402880334851,S19,10.640441778493651,0.14903889815879978,TRUE
341115.5,4288650.5,ALMO,101.64107513427734,0,S24.a,S24.b,17.02482707032364,S24.a,17.37779628001025,0.35296920968661283,TRUE
341760.5,4280014.5,ALMO,84.6963119506836,0,S24.a,S24.a,17.146446958631334,S24.b,17.26158463848388,0.11513767985254475,TRUE
350007.5,4287539.5,ALMO,119.8954620361328,0,S10,S10,9.572900702002174,S06,9.812225978167172,0.23932527616499755,TRUE
339556.5,4285161.5,ALMO,93.865264892578125,0,S24.a,S24.b,18.946665083449805,S24.a,19.12282840850403,0.17616332505422605,TRUE
342289.5,4281386.5,ALMO,108.23479461669922,0,S18,S18,15.169832763991034,S19,16.187809551753038,1.017976787762004,TRUE
339661.5,4291620.5,ALMO,100.86145782470705,0,S18,S24.b,16.679940031337896,S24.a,16.767190115049242,0.08725008371134635,TRUE
337868.5,4287278.5,ALMO,100.60075378417967,0,S18,S18,13.556318385165829,S24.b,14.081362549515015,0.5250441643491861,TRUE
350349.5,4280914.5,ALMO,98.40460205078124,2.9010000228881836,S04,S05.b,14.65822496136501,S18,15.115371213118811,0.45714625175380164,TRUE
340529.5,4284272.5,ALMO,95.9696044921875,0,S25,S24.a,17.90095200136851,S24.b,17.981838659454475,0.08088665808596573,TRUE
338736.5,4292140.5,ALMO,101.46205139160156,0,S25,S24.b,17.22138923728495,S24.a,17.58271566379569,0.36132642651073965,TRUE
