band_number,wavelength_nm,delta,sd_diff,n_pairs
359,2180,0.003584683261048185,0.010245789221024098,1057
360,2180,0.0038381785044671896,0.010120346153923354,1057
361,2190,0.0032170646954926808,0.009992612431099557,1057
362,2190,0.003134941998324177,0.009893586431535808,1057
363,2200,0.0032332665847869557,0.009833630981815939,1057
364,2200,0.002976499747150053,0.009723512219847696,1057
365,2210,0.003021884332203236,0.009680515990598331,1057
366,2210,0.0030646224285793386,0.009671843803675504,1057
367,2220,0.0028929874764611696,0.009706023846755299,1057
368,2220,0.0030672351951735303,0.009792982580396657,1057
369,2230,0.0032712141996611857,0.00983877604779828,1057
370,2230,0.0032215481229895073,0.009869050447939742,1057
371,2240,0.003447218555390012,0.009874631500603928,1057
372,2240,0.003503993550175546,0.009781035925511805,1057
373,2250,0.0036831809823946486,0.009820688630085703,1057
374,2250,0.003971928227077439,0.009811041336278215,1057
375,2260,0.003941125347958379,0.009832303518774205,1057
376,2260,0.004590162054114848,0.00979519471571103,1057
377,2270,0.004521418268205692,0.009921205956665652,1057
